Decoded CTC model's output,	LLM Predicted Label,	Original True Label,	Are they the same
Epoch: 1
Epoch: 2
Epoch: 3
Epoch: 4
Epoch: 5
Epoch: 6
ne,	nine,	nine,	True
seve,	seven,	five,	False
seve,	seven,	seven,	True
five,	five,	five,	True
stw,	two,	two,	True
ero,	zero,	zero,	True
thre,	three,	thre,	False
six,	six,	six,	True
one,	one,	one,	True
itw,	two,	two,	True
one,	one,	one,	True
one,	one,	one,	True
eighe,	eight,	eight,	True
ige,	nine,	eight,	False
sie,	six,	six,	True
fou,	four,	four,	True
sixe,	six,	six,	True
eig,	eight,	eight,	True
fou,	four,	four,	True
five,	five,	five,	True
sive,	five,	seven,	False
thr,	three,	thre,	False
fiv,	five,	five,	True
five,	five,	five,	True
sw,	seven,	zero,	False
twe,	two,	two,	True
wen,	one,	two,	False
thre,	three,	thre,	False
r,	four,	thre,	False
s,	five,	six,	False
sevx,	seven,	six,	False
one,	one,	one,	True
sve,	five,	seven,	False
twe,	two,	two,	True
sivne,	five,	seven,	False
tw,	two,	two,	True
one,	one,	one,	True
,	four,	eight,	False
eight,	eight,	eight,	True
the,	two,	thre,	False
four,	four,	four,	True
one,	one,	one,	True
fo,	four,	four,	True
o,	four,	four,	True
,	four,	zero,	False
tw,	two,	two,	True
eige,	eight,	eight,	True
ewe,	two,	seven,	False
ite,	three,	thre,	False
sixe,	six,	six,	True
fve,	five,	five,	True
ourn,	four,	one,	False
five,	five,	five,	True
one,	one,	one,	True
th,	three,	thre,	False
six,	six,	six,	True
one,	one,	one,	True
eig,	eight,	eight,	True
eigt,	eight,	eight,	True
foure,	four,	four,	True
sioe,	six,	zero,	False
tw,	two,	two,	True
seve,	seven,	seven,	True
ze,	three,	zero,	False
eig,	eight,	eight,	True
nin,	nine,	nine,	True
five,	five,	five,	True
o,	four,	one,	False
i,	one,	nine,	False
ni,	nine,	nine,	True
un,	one,	four,	False
fivoue,	five,	four,	False
swe,	three,	two,	False
o,	four,	one,	False
twhre,	three,	thre,	False
sixe,	six,	six,	True
,	seven,	zero,	False
thre,	three,	thre,	False
six,	six,	six,	True
,	seven,	eight,	False
ive,	five,	five,	True
zeroe,	zero,	zero,	True
eighe,	eight,	eight,	True
eie,	nine,	eight,	False
tw,	two,	two,	True
six,	six,	six,	True
twhren,	three,	thre,	False
thre,	three,	thre,	False
eone,	one,	one,	True
e,	Three,	zero,	False
one,	one,	one,	True
four,	four,	four,	True
siei,	six,	seven,	False
eige,	eight,	eight,	True
eigh,	eight,	eight,	True
sixe,	six,	six,	True
twi,	two,	two,	True
sixe,	six,	six,	True
sevi,	seven,	seven,	True
eigh,	eight,	eight,	True
eigtie,	eight,	eight,	True
eig,	eight,	eight,	True
eie,	nine,	eight,	False
five,	five,	five,	True
thr,	three,	thre,	False
siv,	Five,	seven,	False
eigh,	eight,	eight,	True
eig,	eight,	eight,	True
sevene,	seven,	seven,	True
twoe,	two,	two,	True
zero,	zero,	zero,	True
ni,	nine,	nine,	True
zeiot,	eight,	zero,	False
iv,	four,	five,	False
eige,	eight,	eight,	True
zere,	zero,	zero,	True
tw,	two,	two,	True
ure,	four,	nine,	False
one,	one,	one,	True
eigt,	eight,	eight,	True
ei,	Five,	two,	False
sev,	seven,	six,	False
on,	one,	one,	True
fvoure,	four,	four,	True
iv,	four,	five,	False
nine,	nine,	nine,	True
eigte,	eight,	eight,	True
zert,	three,	thre,	False
fou,	four,	four,	True
tiro,	zero,	zero,	True
zerero,	zero,	zero,	True
zo,	two,	zero,	False
xte,	six,	six,	True
five,	five,	five,	True
fo,	four,	four,	True
two,	two,	two,	True
sive,	five,	seven,	False
t,	two,	two,	True
n,	nine,	one,	False
six,	six,	six,	True
four,	four,	four,	True
fin,	five,	five,	True
nine,	nine,	nine,	True
eigh,	eight,	eight,	True
tre,	Three,	thre,	False
eve,	five,	seven,	False
siv,	five,	seven,	False
nini,	nine,	nine,	True
oue,	nine,	one,	False
sir,	three,	six,	False
fur,	four,	four,	True
six,	six,	six,	True
fine,	nine,	five,	False
fne,	nine,	five,	False
siv,	five,	seven,	False
one,	one,	one,	True
nei,	nine,	nine,	True
twi,	two,	two,	True
one,	one,	one,	True
sen,	seven,	seven,	True
o,	four,	one,	False
eih,	five,	eight,	False
n,	Nine,	nine,	False
n,	nine,	thre,	False
two,	two,	two,	True
h,	four,	thre,	False
i,	nine,	six,	False
zro,	zero,	zero,	True
on,	one,	one,	True
zer,	zero,	zero,	True
twhre,	three,	thre,	False
fi,	five,	five,	True
tw,	two,	two,	True
six,	Six,	six,	False
eig,	eight,	eight,	True
sei,	six,	seven,	False
six,	six,	six,	True
thr,	three,	thre,	False
fourn,	four,	four,	True
four,	four,	four,	True
ei,	nine,	eight,	False
fn,	one,	five,	False
sixe,	six,	six,	True
the,	three,	two,	False
foue,	four,	four,	True
five,	five,	five,	True
five,	five,	five,	True
fo,	four,	five,	False
ig,	nine,	eight,	False
